NAME;GK;CWP;CBT;SB;DMF;WB;CMF;SMF;AMF;WF;SS;CF;REGISTERED POSITION;HEIGHT;FAVOURED FOOT;FAVOURED SIDE;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;ATTACK;DEFENSE;BALANCE;STAMINA;TOP SPEED;ACCELERATION;RESPONSE;AGILITY;DRIBBLE ACCURACY;DRIBBLE SPEED;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;SHOT POWER;SHOT TECHNIQUE;FREE KICK ACCURACY;CURLING;HEADING;JUMP;TECHNIQUE;AGGRESSION;MENTALITY;GOAL KEEPING;TEAM WORK;CONSISTENCY;CONDITION / FITNESS;DRIBBLING;TACTIAL DRIBBLE;POSITIONING;REACTION;PLAYMAKING;PASSING;SCORING;1-1 SCORING;POST PLAYER;LINES;MIDDLE SHOOTING;SIDE;CENTRE;PENALTIES;1-TOUCH PASS;OUTSIDE;MARKING;SLIDING;COVERING;D-LINE CONTROL;PENALTY STOPPER;1-ON-1 STOPPER;LONG THROW;INJURY TOLERANCE;DRIBBLE STYLE;FREE KICK STYLE;PK STYLE;DROP KICK STYLE;AGE;WEIGHT;NATIONALITY;CLUB TEAM
Okoli;0;0;1;0;0;0;0;0;0;0;0;0;3;187;R;R;4;3;52;71;75;80;74;73;75;77;63;64;65;58;62;62;50;65;60;50;53;76;77;74;63;70;50;66;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;23;72;Italy;Leicester City
Vardy;0;0;0;0;0;0;0;0;0;0;0;1;12;179;R;B;7;5;90;48;80;83;78;79;91;83;74;78;74;69;75;68;87;85;88;65;64;71;76;85;97;90;50;80;6;6;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;35;74;England;Leicester City
Buonanotte;0;0;0;0;0;0;0;1;1;1;0;0;9;174;L;B;4;4;68;44;69;71;77;76;68;81;79;76;70;66;71;67;67;76;79;68;72;64;72;82;67;70;50;68;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;67;Argentina;Leicester City
Harry Winks;0;0;0;0;1;0;1;0;0;0;0;0;5;176;R;B;5;5;69;67;75;85;71;77;80;85;82;76;81;72;83;72;65;78;69;62;78;64;77;88;73;78;50;86;5;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;65;England;Leicester City
Skipp;0;0;0;0;1;0;1;0;0;0;0;0;5;178;R;B;5;5;66;73;78;82;68;73;82;73;77;73;81;74;80;72;59;68;61;58;61;65;73;86;70;77;50;83;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;70;England;Leicester City
Mavididi;0;0;0;0;0;0;0;0;0;1;1;1;10;182;R;L;4;4;77;31;80;75;79;76;70;73;74;72;68;59;65;59;75;75;76;53;54;59;73;77;85;64;50;62;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;71;England;Leicester City
Choudhury;0;0;0;0;1;0;1;0;0;0;0;0;5;178;R;B;5;5;61;72;77;80;67;70;75;70;71;67;74;73;66;61;60;73;64;60;60;70;72;76;62;80;50;72;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;B;1;1;1;1;25;64;England;Leicester City
Karsdorp;0;0;0;1;0;0;0;0;0;0;0;0;4;184;R;R;5;5;80;78;83;83;81;81;79;78;81;81;80;79;80;79;64;79;76;69;74;76;85;81;79;83;50;80;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;29;80;Netherlands;PSV Eindhoven
Mazzitelli;0;0;0;0;1;0;1;0;0;0;0;0;7;184;R;B;6;6;71;71;72;72;60;60;77;65;78;66;82;80;79;76;64;78;75;71;74;65;66;80;77;75;50;75;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;76;Italy;US Sassuolo
P. Wanner;0;0;0;0;0;0;0;1;1;0;0;0;9;185;L;B;4;4;75;60;73;78;68;79;76;79;79;74;80;77;72;70;68;74;66;76;66;62;66;79;76;70;50;71;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;75;Germany;FC Heidenheim 1846
Aitor Ruibal;0;0;0;1;0;0;0;1;0;0;0;0;4;176;R;R;5;5;78;77;74;75;87;85;78;81;81;83;78;80;77;81;76;83;75;64;68;76;83;81;78;76;50;76;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;74;Spain;Real Betis Balompie
Romain Perraud;0;0;0;1;0;0;0;0;0;0;0;0;4;173;L;L;4;4;80;77;77;83;76;81;78;79;79;77;80;83;79;83;72;86;77;76;76;70;79;79;78;85;50;81;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;68;France;Real Betis Balompie
Rui Silva;1;0;0;0;0;0;0;0;0;0;0;0;0;191;L;B;5;5;31;85;73;66;62;62;87;69;59;55;63;62;67;66;63;80;46;56;49;56;80;59;52;71;84;69;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;B;1;1;1;1;30;91;Portugal;Sporting CP
Iker Losada;0;0;0;0;0;0;0;1;1;0;0;0;9;175;R;B;5;5;78;58;76;71;79;79;77;80;78;79;78;76;78;76;78;76;75;79;75;71;76;78;77;66;50;72;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;70;Spain;Celta de Vigo
Diego Llorente ;0;0;1;0;0;0;0;0;0;0;0;0;3;186;R;B;5;5;64;85;81;73;69;70;85;68;75;70;80;72;72;64;62;66;64;62;62;81;85;78;70;80;50;81;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;30;75;Spain;Real Betis Balompie
Sergi Altimira;0;0;0;0;1;0;1;0;0;0;0;0;5;188;R;B;5;5;76;80;78;79;70;64;80;68;78;73;81;76;72;65;72;71;68;61;66;73;76;80;80;76;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;80;Spain;Real Betis Balompie
Pablo Fornals;0;0;0;0;0;0;0;1;1;0;0;0;8;178;R;B;5;5;81;78;74;84;70;73;80;76;82;75;83;81;81;80;76;79;78;76;78;62;70;83;80;81;50;81;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;28;67;Spain;Real Betis Balompie
Isco;0;0;0;0;0;0;1;1;1;0;0;0;9;176;R;B;7;6;85;72;76;75;70;73;84;79;88;79;88;82;86;81;82;78;80;81;87;66;68;88;84;73;50;82;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;B;1;1;1;1;32;79;Spain;Real Betis Balompie
Assane Diao;0;0;0;0;0;0;0;0;0;1;0;1;10;185;R;B;5;4;71;52;80;82;84;85;66;81;74;84;69;74;66;67;65;71;67;59;60;73;78;77;68;69;50;67;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;17;74;Spain;Como 1907
Juanmi;0;0;0;0;0;0;0;1;1;1;1;1;11;172;R;B;5;5;78;43;69;75;73;77;80;84;80;78;75;64;72;64;77;77;82;64;70;72;77;87;86;70;50;72;5;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;B;1;1;1;1;29;69;Spain;Getafe CF
Marc Roca;0;0;0;0;1;0;1;0;0;0;0;0;5;184;L;B;5;5;73;80;79;79;69;64;80;68;79;74;83;81;78;75;71;79;70;63;71;75;77;81;80;79;50;80;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;81;Spain;Real Betis Balompie
Adrian;1;0;0;0;0;0;0;0;0;0;0;0;0;190;R;B;3;3;31;77;69;66;62;62;78;68;58;55;61;62;63;64;61;73;46;54;49;55;74;58;51;71;78;64;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;37;80;Spain;Real Betis Balompie
W. Carvalho;0;0;0;0;1;0;0;0;1;0;0;0;5;187;R;B;6;6;79;81;91;84;62;60;83;62;84;73;86;82;79;75;73;79;72;62;85;76;80;84;80;82;50;83;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;32;83;Portugal;Real Betis Balompie
Youssouf Sabaly;0;0;0;1;0;0;0;0;0;0;0;0;4;174;R;B;5;5;78;80;79;81;82;79;80;78;79;79;79;75;76;76;62;73;67;62;66;66;77;79;78;78;50;71;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;31;67;Senegal;Real Betis Balompie
N. Mendy;0;0;1;1;0;0;0;0;0;0;0;0;3;187;L;B;5;5;59;71;73;71;79;68;71;64;67;70;70;67;65;64;61;66;61;61;62;71;74;70;63;69;50;67;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;78;France;Real Betis Balompie
Chimy Avila;0;0;0;0;0;0;0;1;0;0;0;1;12;172;R;B;8;8;81;60;86;81;82;78;80;76;81;81;77;81;69;76;80;86;79;67;64;83;91;81;80;85;50;82;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;81;Argentina;Real Betis Balompie
Vitor Roque;0;0;0;0;0;0;0;0;0;1;0;1;10;172;R;B;6;6;80;51;78;80;78;82;78;81;81;79;72;78;75;73;81;77;79;62;69;75;76;81;77;76;50;77;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;76;Brazil;
Bakambu;0;0;0;0;0;0;0;0;0;0;0;1;12;182;R;B;5;5;83;57;75;73;81;81;79;80;79;79;78;78;73;77;81;79;78;67;72;81;88;81;79;70;50;75;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;33;73;Egypt;Real Betis Balompie
Bartra;0;0;1;0;0;0;0;0;0;0;0;0;3;184;R;B;5;5;70;84;80;75;73;73;83;72;79;73;83;79;75;70;66;77;70;63;71;83;86;81;74;78;50;81;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;33;73;Spain;Real Betis Balompie
A. Ezzalzouli;0;0;0;0;0;0;0;1;0;0;0;0;8;177;R;L;5;5;78;51;74;76;90;91;78;88;82;87;77;77;74;77;78;79;73;61;71;61;74;81;78;73;50;76;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;72;Morocco;Real Betis Balompie
Natan;0;0;1;1;0;0;0;0;0;0;0;0;3;188;L;B;3;3;53;82;80;78;63;67;81;65;68;62;72;68;64;60;61;66;62;61;62;78;82;72;60;77;50;73;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;85;Brazil;Real Betis Balompie
Hector Bellerin;0;0;0;1;0;0;0;0;0;0;0;0;4;178;R;R;4;4;77;80;74;78;84;81;81;80;81;82;80;72;75;72;64;66;65;63;68;68;74;81;81;78;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;74;Spain;FC Spartak Moscow
Fores;0;0;0;0;0;0;0;0;0;0;0;1;12;180;R;B;5;5;78;56;70;78;71;70;78;72;70;69;76;76;60;65;80;78;68;61;62;79;79;71;78;68;50;66;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;23;68;Spain;Levante UD
Lankshear;0;0;0;0;0;0;0;0;0;0;0;1;12;189;R;B;5;5;68;49;73;73;73;67;66;69;67;68;63;63;58;60;68;66;62;64;62;67;71;67;66;65;50;62;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;85;England;West Bromwich Albion
Rouhi;0;0;0;1;0;0;0;0;0;0;0;0;4;183;L;L;5;5;62;71;68;71;69;70;66;65;72;70;70;67;66;66;61;66;62;61;65;61;66;71;66;70;50;62;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;70;Sweden;
Jesus Vallejo;0;0;1;0;0;0;0;0;0;0;0;0;3;184;R;B;5;5;62;78;74;71;74;68;80;70;71;68;76;70;66;60;61;66;63;61;62;76;76;75;67;75;50;78;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;27;79;Spain;
Courtois;1;0;0;0;0;0;0;0;0;0;0;0;0;200;L;B;5;5;31;90;79;66;62;62;93;78;61;56;64;62;68;66;64;79;46;57;49;58;82;61;57;83;90;76;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;B;1;1;1;1;32;96;Belgium;Real Madrid
Dani Ceballos;0;0;0;0;1;0;1;0;0;0;0;0;7;179;R;B;5;5;82;80;74;81;64;74;82;77;86;75;86;83;82;79;74;79;77;74;80;62;66;86;81;80;50;82;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;70;Spain;FC Zenit St Petersburg
Fran Garcia;0;0;0;1;0;0;0;0;0;0;0;0;4;169;L;L;5;5;77;78;82;85;90;91;79;89;82;85;82;75;75;74;62;68;66;62;74;65;79;83;78;79;50;75;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;62;Spain;Real Madrid
Lucas Vazquez;0;0;0;1;0;0;0;0;0;0;0;0;4;173;R;R;6;6;84;80;75;91;83;83;85;83;85;84;85;84;84;84;79;83;76;78;85;68;74;84;85;85;50;82;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;33;69;Spain;FC Spartak Moscow
Brahim Diaz;0;0;0;0;0;0;0;0;1;1;0;0;9;170;R;B;8;8;83;57;79;76;87;87;83;89;87;87;86;81;81;78;81;77;79;71;78;63;67;88;83;68;50;76;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;68;Morocco;Bologna FC 1909
Heyer;0;0;1;1;0;0;0;0;0;0;0;0;4;185;R;B;6;6;64;76;78;75;67;67;74;69;73;68;77;71;71;64;67;66;64;61;62;74;78;74;71;75;50;68;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;29;78;Germany;Fortuna Dusseldorf
Sibilli;0;0;0;0;0;0;0;0;1;0;0;1;9;180;R;B;5;5;72;56;78;81;83;80;73;81;77;79;74;71;68;69;78;70;73;64;68;68;79;78;73;74;50;71;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;76;Italy;UC Sampdoria
M. Moore;0;0;0;0;0;0;0;0;0;1;0;0;10;180;R;L;6;6;73;57;74;72;79;80;73;79;76;78;74;72;72;73;71;71;68;65;74;62;68;76;73;65;50;68;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;16;75;England;
Rahim Ibrahim;0;0;0;0;1;0;0;0;0;0;0;0;5;186;L;B;4;6;45;70;80;71;73;65;55;70;49;55;74;66;71;65;58;78;57;58;65;50;73;55;62;66;50;80;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;83;Ghana;Slovan Bratislava
Dean Huijsen;0;0;1;0;0;0;0;0;0;0;0;0;3;197;R;B;6;6;63;81;81;71;77;73;82;66;75;75;79;72;68;61;61;66;66;61;66;80;86;76;69;74;50;79;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;19;87;Spain;AFC Bournemouth
Nubel;1;0;0;0;0;0;0;0;0;0;0;0;0;193;R;B;8;8;31;83;73;66;62;62;85;68;58;55;66;64;68;68;62;84;46;55;49;56;81;58;54;79;82;77;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;27;86;Germany;VfB Stuttgart
Morgun;1;0;0;0;0;0;0;0;0;0;0;0;0;189;R;B;5;5;31;68;66;66;62;62;68;59;58;55;61;62;61;61;61;66;46;54;49;55;65;58;45;62;68;57;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;78;Ukraine;Dynamo Kyiv
Tolkin;0;0;0;1;0;0;0;1;0;0;0;0;4;170;L;L;5;5;68;75;74;85;84;84;73;82;70;76;73;69;72;69;61;66;61;74;75;62;74;69;72;79;50;68;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;21;61;Free Nationality;KSV Holstein
Wilfried Kanga;0;0;0;0;0;0;0;0;0;0;0;1;12;189;R;B;6;6;75;47;91;81;77;72;74;68;73;74;70;74;60;68;76;79;69;66;62;76;88;74;74;78;50;73;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;76;Cote d'Ivoire;GNK Dinamo Zagreb
Fulignati;1;0;0;0;0;0;0;0;0;0;0;0;0;188;R;B;4;6;30;77;75;77;67;71;76;75;58;61;70;68;74;71;45;74;45;63;45;55;81;54;77;74;73;75;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;28;87;Italy;US Cremonese
Bruun Larsen ;0;0;0;0;0;0;0;1;0;0;0;1;8;183;R;B;8;8;78;68;76;71;81;86;78;83;79;80;77;80;74;79;77;85;74;76;77;67;79;78;78;72;50;76;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;25;77;Denmark;
J. Markovic;1;0;0;0;0;0;0;0;0;0;0;0;0;187;R;B;5;5;31;75;67;66;62;62;77;64;58;55;61;62;64;65;61;77;46;54;49;55;72;58;48;66;76;64;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;78;Czech Republic;SK Slavia Praga
Iheanacho;0;0;0;0;0;0;0;0;0;0;1;1;11;185;L;B;4;4;78;41;74;74;72;70;73;76;81;66;76;69;78;68;80;85;87;61;65;72;75;85;84;73;50;74;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;82;Nigeria;
Djibril Sow;0;0;0;0;1;0;1;0;0;0;0;0;7;184;R;B;6;6;80;80;79;88;85;79;81;79;81;81;81;78;78;75;76;75;76;71;73;71;75;83;81;85;50;80;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;27;76;Switzerland;Sevilla FC
Sambi Lokonga;0;0;0;0;1;0;1;0;0;0;0;0;7;183;R;B;5;5;73;74;74;80;70;68;78;71;82;75;81;77;77;73;63;73;72;74;75;69;74;83;77;78;50;76;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;73;Belgium;Sevilla FC
Marcao;0;0;1;0;0;0;0;0;0;0;0;0;3;185;L;B;5;5;53;80;85;83;68;68;81;68;76;71;79;72;67;60;61;66;64;61;62;76;82;77;61;86;50;85;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;28;80;Brazil;Sevilla FC
Juanlu Sanchez;0;0;0;1;0;0;0;0;1;0;0;0;4;186;R;B;5;5;68;76;68;79;78;80;76;77;81;78;78;75;75;75;75;74;70;62;68;71;77;82;76;74;50;69;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;20;70;Spain;Sevilla FC
Ejuke;0;0;0;0;0;0;0;1;0;1;0;0;8;176;R;L;4;4;76;56;80;81;91;95;78;94;83;88;77;78;75;78;73;80;74;71;78;61;72;83;78;72;50;72;5;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;72;Nigeria;Sevilla FC
Saul Niguez;0;0;0;0;0;0;1;1;0;0;0;0;7;184;L;B;6;6;82;81;78;81;74;72;83;74;82;77;83;82;79;78;79;83;80;71;77;84;85;82;83;81;50;81;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;29;75;Spain;Sevilla FC
Agoume;0;0;0;0;1;0;1;0;0;0;0;0;7;188;R;B;5;5;76;78;81;81;73;72;78;71;79;75;81;74;73;65;62;66;67;61;63;74;80;80;78;77;50;76;5;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;72;France;Sevilla FC
Carmona;0;0;0;1;0;0;0;1;0;0;0;0;4;183;R;R;5;5;76;78;70;78;85;81;78;79;78;81;77;73;75;73;74;70;70;61;77;70;79;78;78;75;50;74;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;80;Spain;Sevilla FC
Peque;0;0;0;0;0;0;0;0;1;1;0;0;9;172;R;B;6;6;78;57;76;77;85;83;77;84;79;81;78;75;72;71;80;73;72;71;74;61;66;79;77;67;50;71;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;65;Spain;Sevilla FC
Adria Pedrosa;0;0;0;1;0;0;0;0;0;0;0;0;4;176;L;L;5;5;76;76;74;87;90;91;78;88;81;86;77;72;74;72;69;68;69;61;78;68;80;78;78;84;50;77;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;69;Spain;Sevilla FC
Mariano Diaz;0;0;0;0;0;0;0;0;0;0;0;1;12;180;R;B;4;4;83;30;75;77;76;73;79;81;77;73;68;66;66;60;80;82;79;72;77;77;80;82;82;75;50;67;5;5;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;B;2;1;1;1;29;76;Free Nationality;Sevilla FC
Suso;0;0;0;0;0;0;1;1;1;0;0;0;8;177;L;B;5;5;81;59;75;71;75;77;81;79;85;80;84;82;82;82;79;80;82;84;85;62;66;85;81;65;50;74;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;30;70;Spain;Sevilla FC
Valentin Barco;0;0;0;1;0;1;1;1;0;1;0;0;4;172;L;L;5;6;73;75;57;75;76;76;76;83;80;79;76;80;78;80;71;69;75;78;78;47;73;86;80;58;50;79;3;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;18;70;Argentina;
Jesus Navas ;0;0;0;1;0;1;0;1;0;0;0;0;4;172;R;R;5;4;75;67;69;85;80;82;73;85;84;82;79;73;87;79;64;81;72;69;82;64;69;89;92;77;50;77;6;5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;37;64;Spain;
A. Fernandez;1;0;0;0;0;0;0;0;0;0;0;0;0;186;L;B;5;5;31;78;67;66;62;62;80;76;58;56;61;62;63;64;61;73;46;54;49;55;74;58;52;71;78;65;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;26;75;Spain;Sevilla FC
Kike Salas;0;0;1;1;0;0;0;0;0;0;0;0;3;186;L;B;5;5;62;79;79;77;74;69;79;66;69;68;71;68;58;60;61;66;62;61;62;78;83;73;67;78;50;75;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;22;80;Spain;Sevilla FC
Loic Bade;0;0;1;0;0;0;0;0;0;0;0;0;3;191;R;B;5;5;62;82;86;73;72;64;81;62;75;70;78;72;64;60;61;66;64;61;62;80;85;79;68;77;50;80;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;89;France;Sevilla FC
Isaac Romero;0;0;0;0;0;0;0;0;0;1;0;1;12;184;L;B;5;5;76;49;79;77;85;84;76;79;79;81;77;76;74;75;78;77;75;61;74;78;89;79;76;72;50;72;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;24;70;Spain;Sevilla FC
Tanguy Nianzou;0;0;1;0;0;0;0;0;0;0;0;0;3;191;R;B;5;5;61;79;85;74;74;66;78;63;72;71;78;72;65;60;61;66;62;61;62;81;87;73;66;77;50;78;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;C;1;1;1;1;22;83;France;Sevilla FC
Munetsi;0;0;0;0;1;0;1;0;1;0;0;0;5;187;R;B;6;6;59;72;83;84;75;76;75;75;76;75;79;80;72;75;75;81;76;63;60;75;76;76;74;74;50;82;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A;1;1;1;1;27;83;Zimbabwe;Wolverhampton Wanderers
K. Mutandwa;0;0;0;0;0;0;0;0;0;0;0;1;12;180;R;B;5;5;68;52;72;71;75;79;68;77;72;73;66;68;61;67;70;74;66;61;62;68;76;71;68;71;50;68;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;76;Zambia;Cagliari Calcio
Moussa Cisse;0;0;0;1;0;0;0;1;0;0;0;0;4;177;L;L;5;5;64;70;74;71;77;76;71;77;71;74;68;66;63;65;61;66;61;61;62;64;66;69;71;70;50;62;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;B;1;1;1;1;21;72;France;FC Basel
Stuani;0;0;0;0;0;0;0;0;0;0;0;1;12;186;R;B;5;5;83;63;90;75;71;69;78;69;77;73;78;80;74;78;81;83;78;67;71;84;90;78;78;78;50;81;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;B;1;1;1;1;37;76;Uruguay;Girona FC
